Date,Open,High,Low,Close,Adj Close,Volume
2019-05-31,3.320000,3.320000,3.320000,3.320000,3.320000,28000
2019-06-03,3.480000,3.480000,3.480000,3.480000,3.480000,48000
2019-06-04,3.650000,3.650000,3.650000,3.650000,3.650000,8000
2019-06-06,3.830000,3.830000,3.650000,3.830000,3.830000,56000
2019-06-07,4.020000,4.020000,4.020000,4.020000,4.020000,8000
2019-06-10,3.900000,4.000000,3.820000,3.820000,3.820000,48000
2019-06-11,3.630000,3.950000,3.630000,3.790000,3.790000,24000
2019-06-12,3.960000,3.970000,3.960000,3.970000,3.970000,8000
2019-06-13,4.120000,4.120000,4.120000,4.120000,4.120000,4000
2019-06-14,4.120000,4.120000,4.120000,4.120000,4.120000,0
2019-06-17,3.730000,3.730000,3.730000,3.730000,3.730000,4000
2019-06-18,3.550000,3.900000,3.550000,3.900000,3.900000,12000
2019-06-19,3.900000,3.900000,3.900000,3.900000,3.900000,0
2019-06-20,3.900000,3.900000,3.900000,3.900000,3.900000,0
2019-06-21,3.710000,4.050000,3.710000,3.880000,3.880000,16000
2019-06-24,3.880000,3.880000,3.880000,3.880000,3.880000,0
2019-06-25,3.880000,3.880000,3.880000,3.880000,3.880000,0
2019-06-26,3.700000,3.700000,3.690000,3.690000,3.690000,8000
2019-06-27,3.840000,3.840000,3.840000,3.840000,3.840000,4000
2019-06-28,3.650000,3.650000,3.650000,3.650000,3.650000,8000
2019-07-01,3.470000,3.470000,3.470000,3.470000,3.470000,8000
2019-07-02,3.300000,3.300000,3.300000,3.300000,3.300000,4000
2019-07-03,3.450000,3.450000,3.450000,3.450000,3.450000,4000
2019-07-04,3.450000,3.450000,3.450000,3.450000,3.450000,0
2019-07-05,3.280000,3.280000,3.280000,3.280000,3.280000,4000
2019-07-08,3.120000,3.420000,3.120000,3.420000,3.420000,12000
2019-07-09,3.570000,3.570000,3.570000,3.570000,3.570000,4000
2019-07-10,3.570000,3.570000,3.570000,3.570000,3.570000,0
2019-07-11,3.400000,3.400000,3.400000,3.400000,3.400000,4000
2019-07-12,3.400000,3.400000,3.400000,3.400000,3.400000,0
2019-07-15,3.400000,3.400000,3.400000,3.400000,3.400000,0
2019-07-16,3.230000,3.230000,3.230000,3.230000,3.230000,8000
2019-07-17,3.230000,3.230000,3.230000,3.230000,3.230000,0
2019-07-18,3.230000,3.230000,3.230000,3.230000,3.230000,0
2019-07-19,3.070000,3.070000,3.070000,3.070000,3.070000,8000
2019-07-22,2.920000,2.920000,2.920000,2.920000,2.920000,4000
2019-07-23,2.920000,2.920000,2.920000,2.920000,2.920000,0
2019-07-24,2.920000,2.920000,2.920000,2.920000,2.920000,0
2019-07-25,2.920000,2.920000,2.920000,2.920000,2.920000,0
2019-07-26,2.920000,2.920000,2.920000,2.920000,2.920000,0
2019-07-29,2.920000,2.920000,2.920000,2.920000,2.920000,0
